date,PRCP_Illinois,PRCP_Indiana,PRCP_Nebraska,PRCP_Ohio,PRCP_Iowa,Season,Year,Month
2000-05-29,1.9375,0.3777777777777778,0.0,23.73333333333333,0.06,Spring,2000,5
2000-05-30,0.0,0.0,5.166666666666667,0.0,2.7700000000000005,Spring,2000,5
2000-05-31,11.55,0.0,0.43333333333333335,0.0,17.26,Spring,2000,5
2000-06-01,8.475,0.08888888888888889,0.18333333333333326,0.4,6.4,Summer,2000,6
2000-06-02,8.25,1.2222222222222223,0.08333333333333333,0.05555555555555555,3.74,Summer,2000,6
2000-06-03,0.0,0.0,0.0,4.211111111111111,0.0,Summer,2000,6
2000-06-04,2.0625,0.08888888888888889,0.0,0.0,7.910000000000001,Summer,2000,6
2000-06-05,7.5125,8.666666666666666,0.0,2.2111111111111112,4.6,Summer,2000,6
2000-06-06,0.0,3.4111111111111114,0.0,18.466666666666672,0.05,Summer,2000,6
2000-06-07,0.0,0.03333333333333333,0.0,0.14444444444444446,0.0,Summer,2000,6
2000-06-08,0.1,0.0,0.0,0.08888888888888889,0.0,Summer,2000,6
2000-06-09,0.0,0.0,0.0,0.0,0.0,Summer,2000,6
2000-06-10,1.9,0.0,2.3833333333333333,0.0,0.8099999999999999,Summer,2000,6
2000-06-11,7.557142857142857,4.633333333333334,0.0,0.14444444444444446,7.52,Summer,2000,6
2000-06-12,17.6875,8.911111111111111,13.9,7.566666666666666,12.3,Summer,2000,6
2000-06-13,18.5375,6.2333333333333325,6.016666666666668,7.0555555555555545,12.64,Summer,2000,6
2000-06-14,8.85,13.255555555555556,0.7333333333333333,4.177777777777777,26.36000000000001,Summer,2000,6
2000-06-15,7.9125,10.044444444444443,0.9666666666666668,8.611111111111109,2.29,Summer,2000,6
2000-06-16,0.7,11.166666666666664,1.1666666666666667,5.133333333333333,4.14,Summer,2000,6
2000-06-17,8.674999999999999,23.75555555555556,0.9333333333333332,19.1,0.92,Summer,2000,6
2000-06-18,6.5375,9.477777777777778,1.3999999999999997,8.066666666666666,0.14,Summer,2000,6
2000-06-19,0.475,0.03333333333333333,0.9333333333333332,3.4111111111111105,1.91,Summer,2000,6
2000-06-20,2.9875000000000003,3.2444444444444445,6.466666666666666,0.0,6.06,Summer,2000,6
2000-06-21,19.6375,16.744444444444447,0.21666666666666667,7.1111111111111125,3.4599999999999995,Summer,2000,6
2000-06-22,0.0,1.3777777777777778,0.0,2.2222222222222223,0.0,Summer,2000,6
2000-06-23,0.0,0.3111111111111111,3.516666666666667,0.0,3.37,Summer,2000,6
2000-06-24,16.849999999999998,6.1000000000000005,8.950000000000003,0.4222222222222222,24.71,Summer,2000,6
2000-06-25,15.062500000000002,13.244444444444444,0.08333333333333333,7.98888888888889,28.48,Summer,2000,6
2000-06-26,8.82857142857143,3.2444444444444445,0.6333333333333333,0.9222222222222224,12.07,Summer,2000,6
2000-06-27,2.3285714285714283,6.9,0.7166666666666667,2.055555555555556,0.0,Summer,2000,6
2000-06-28,0.042857142857142864,0.0,7.633333333333333,0.9888888888888888,3.7,Summer,2000,6
2000-06-29,2.7500000000000004,0.8444444444444444,1.15,1.6333333333333333,2.9400000000000004,Summer,2000,6
2000-06-30,0.0,0.3333333333333333,0.7166666666666667,1.0111111111111113,0.51,Summer,2000,6
2000-07-01,0.6375,0.0,0.0,0.0,0.0,Summer,2000,7
2000-07-02,0.0,0.0,0.7666666666666666,0.0,6.8900000000000015,Summer,2000,7
2000-07-03,17.411111111111108,17.11111111111111,0.0,6.088888888888889,15.98,Summer,2000,7
2000-07-04,0.2,4.6,12.533333333333333,16.27777777777778,2.97,Summer,2000,7
2000-07-05,12.633333333333333,14.055555555555555,0.43333333333333335,0.15555555555555556,18.22,Summer,2000,7
2000-07-06,0.6444444444444444,2.533333333333333,6.9,0.0,3.54,Summer,2000,7
2000-07-07,0.0,0.0,0.08333333333333333,0.0,0.06,Summer,2000,7
2000-07-08,0.0,0.0,4.616666666666666,0.0,0.0,Summer,2000,7
2000-07-09,0.2777777777777778,0.03333333333333333,5.466666666666666,0.4222222222222222,6.6,Summer,2000,7
2000-07-10,10.355555555555558,7.955555555555555,0.16666666666666666,2.688888888888889,17.2,Summer,2000,7
2000-07-11,10.944444444444445,3.2444444444444445,15.016666666666666,7.677777777777778,6.51,Summer,2000,7
2000-07-12,0.9333333333333332,1.2999999999999998,0.6,0.0,2.3400000000000003,Summer,2000,7
2000-07-13,0.0,0.0,0.0,0.0,0.0,Summer,2000,7
2000-07-14,1.5222222222222217,0.3666666666666665,0.0,6.6,0.0,Summer,2000,7
2000-07-15,0.0,0.0,0.0,9.355555555555554,0.0,Summer,2000,7
2000-07-16,0.0,0.0,0.76,6.022222222222222,1.44,Summer,2000,7
2000-07-17,0.05555555555555555,0.0,0.16666666666666666,0.7,0.53,Summer,2000,7
2000-07-18,0.1111111111111111,5.955555555555555,3.8833333333333333,0.7888888888888889,1.98,Summer,2000,7
2000-07-19,8.677777777777777,6.544444444444445,1.5333333333333332,0.6333333333333333,5.089999999999999,Summer,2000,7
2000-07-20,0.0,0.0,2.3833333333333333,7.399999999999999,0.03,Summer,2000,7
2000-07-21,0.4,0.0,0.21666666666666667,0.0,0.0,Summer,2000,7
2000-07-22,0.0,0.0,1.1833333333333331,0.1111111111111111,0.0,Summer,2000,7
2000-07-23,0.0,0.0,0.25,0.0,0.0,Summer,2000,7
2000-07-24,0.0,0.0,0.08333333333333333,0.0,0.0,Summer,2000,7
2000-07-25,0.0,0.0,2.1666666666666665,0.0,0.99,Summer,2000,7
2000-07-26,0.8444444444444444,0.0,0.0,0.0,6.22,Summer,2000,7
2000-07-27,0.4222222222222222,0.0,0.08333333333333333,2.1444444444444444,4.72,Summer,2000,7
2000-07-28,0.2222222222222222,3.166666666666667,19.266666666666666,0.0,0.03,Summer,2000,7
2000-07-29,8.5375,11.499999999999998,0.0,2.911111111111111,0.13,Summer,2000,7
2000-07-30,1.775,28.877777777777766,0.0,6.911111111111111,0.86,Summer,2000,7
2000-07-31,15.944444444444445,4.122222222222222,0.0,3.2,0.97,Summer,2000,7
2000-08-01,10.3,0.17777777777777778,0.0,3.733333333333333,0.41,Summer,2000,8
2000-08-02,1.75,7.9222222222222225,0.18333333333333326,4.5125,0.0,Summer,2000,8
2000-08-03,0.7,14.655555555555555,1.8166666666666669,2.5125,0.0,Summer,2000,8
2000-08-04,0.0,1.1555555555555557,5.833333333333332,2.1375,0.86,Summer,2000,8
2000-08-05,0.0,2.6222222222222222,0.08333333333333333,0.03333333333333333,5.58,Summer,2000,8
2000-08-06,19.450000000000006,17.100000000000005,0.05,19.1,3.9099999999999993,Summer,2000,8
2000-08-07,14.187500000000002,9.255555555555556,0.0,22.155555555555555,3.68,Summer,2000,8
2000-08-08,5.4,2.4222222222222216,0.0,0.05555555555555555,7.339999999999999,Summer,2000,8
2000-08-09,5.425,3.5,0.0,1.6111111111111112,5.01,Summer,2000,8
2000-08-10,0.0,1.5777777777777775,2.283333333333333,3.1,1.27,Summer,2000,8
2000-08-11,0.0,0.0,0.0,0.0,0.0,Summer,2000,8
2000-08-12,0.0,0.0,0.6333333333333333,0.0,1.19,Summer,2000,8
2000-08-13,0.125,0.0,0.0,0.0,7.15,Summer,2000,8
2000-08-14,2.7750000000000004,0.0,0.0,0.0,4.880000000000001,Summer,2000,8
2000-08-15,0.0,0.0,0.0,0.0,0.05,Summer,2000,8
2000-08-16,0.0625,0.0,1.65,0.0,2.18,Summer,2000,8
2000-08-17,5.8125,9.044444444444443,5.116666666666666,0.2222222222222222,7.55,Summer,2000,8
2000-08-18,4.800000000000002,13.777777777777775,0.0,12.288888888888884,0.23,Summer,2000,8
2000-08-19,0.0,0.0,0.1,0.5111111111111111,0.0,Summer,2000,8
2000-08-20,1.75,0.0,2.716666666666667,0.0,1.78,Summer,2000,8
2000-08-21,0.0,0.0,0.0,0.0,0.0,Summer,2000,8
2000-08-22,0.6,1.1888888888888889,0.0,0.0,1.48,Summer,2000,8
2000-08-23,5.112499999999999,7.5888888888888895,0.0,0.7111111111111109,6.11,Summer,2000,8
2000-08-24,7.562499999999999,7.566666666666667,0.05,22.61111111111111,0.72,Summer,2000,8
2000-08-25,2.1,0.0,0.0,0.25555555555555554,0.0,Summer,2000,8
2000-08-26,2.1625,0.8111111111111111,0.9333333333333332,0.0,0.0,Summer,2000,8
2000-08-27,5.2,10.52222222222222,0.0,9.800000000000002,0.06,Summer,2000,8
2000-08-28,1.5625,0.0,0.85,0.14444444444444446,1.55,Summer,2000,8
2000-08-29,0.1,0.0,2.5,0.0,0.35,Summer,2000,8
2000-08-30,0.075,0.0,0.13333333333333333,0.0,0.0,Summer,2000,8
2000-08-31,0.0375,0.0,0.16666666666666666,0.0,0.0,Summer,2000,8
2000-09-01,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,Fall,2000,9
2000-09-02,0.0,0.0,1.95,0.0,0.4400000000000001,Fall,2000,9
2000-09-03,0.0,9.15,0.13333333333333333,5.477777777777778,1.86,Fall,2000,9
2000-09-04,0.2,16.233333333333334,7.066666666666666,1.9666666666666663,0.94,Fall,2000,9
2000-09-05,0.06666666666666668,0.0,0.0,1.6222222222222222,0.0,Fall,2000,9
2000-09-06,0.0,0.0,1.8666666666666665,0.0,0.0,Fall,2000,9
2000-09-07,0.0,0.0,1.0166666666666666,0.0,0.08,Fall,2000,9
2000-09-08,0.3333333333333333,0.9333333333333332,0.3833333333333333,0.0,0.13,Fall,2000,9
2000-09-09,0.3444444444444444,5.333333333333333,1.5666666666666669,0.7888888888888889,1.63,Fall,2000,9
2000-09-10,1.9777777777777767,11.85,0.0,1.8444444444444448,1.09,Fall,2000,9
2000-09-11,0.08888888888888889,17.25,0.0,14.633333333333333,3.78,Fall,2000,9
2000-09-12,29.41111111111111,14.800000000000002,0.0,4.2222222222222205,3.98,Fall,2000,9
2000-09-13,0.0,0.0,0.0,5.033333333333334,1.65,Fall,2000,9
2000-09-14,8.377777777777778,0.5,0.0,0.05555555555555555,7.469999999999999,Fall,2000,9
2000-09-15,2.2222222222222223,1.5333333333333332,0.0,3.7888888888888888,0.03,Fall,2000,9
2000-09-16,0.0,0.0,0.0,0.16666666666666666,0.0,Fall,2000,9
2000-09-17,0.0,0.0,0.0,0.0,0.0,Fall,2000,9
2000-09-18,0.0,0.0,0.0,0.0,0.0,Fall,2000,9
2000-09-19,0.0,0.0,1.7666666666666666,0.0,1.7799999999999998,Fall,2000,9
2000-09-20,0.7333333333333333,3.5,5.2,3.1333333333333333,6.18,Fall,2000,9
2000-09-21,10.8125,7.283333333333334,0.0,10.788888888888893,6.68,Fall,2000,9
2000-09-22,1.0111111111111108,0.0,8.316666666666665,0.03333333333333333,8.870000000000003,Fall,2000,9
2000-09-23,23.344444444444445,6.416666666666668,2.583333333333333,4.7625,20.04,Fall,2000,9
2000-09-24,11.375,7.366666666666666,4.8599999999999985,28.477777777777767,4.659999999999998,Fall,2000,9
2000-09-25,11.3875,18.83333333333333,3.1,1.1555555555555557,7.62,Fall,2000,9
2000-09-26,3.3875,16.35,0.0,12.444444444444445,0.14,Fall,2000,9
2000-09-27,0.0,0.0,0.0,0.1111111111111111,0.0,Fall,2000,9
2000-09-28,0.0,0.0,0.0,0.0,0.0,Fall,2000,9
2000-09-29,0.0,0.0,0.0,0.0,0.0,Fall,2000,9
2000-09-30,0.0,0.0,0.0,0.0,0.0,Fall,2000,9
2000-10-01,0.0,0.0,0.0,0.0,0.0,Fall,2000,10
2000-10-02,0.0,0.0,0.13333333333333333,0.0,0.4555555555555555,Fall,2000,10
2000-10-03,0.0,0.0,2.3000000000000003,0.0,3.15,Fall,2000,10
2000-10-04,15.025,10.966666666666667,0.21666666666666667,1.9625,12.25,Fall,2000,10
2000-10-05,4.1875,28.11111111111111,3.016666666666666,11.4375,6.19,Fall,2000,10
2000-10-06,4.8125,6.8555555555555525,0.6,17.9375,3.3600000000000003,Fall,2000,10
2000-10-07,0.0,0.2,0.0,0.2,0.05,Fall,2000,10
2000-10-08,0.5375,0.2,0.0,0.1375,0.0,Fall,2000,10
2000-10-09,0.0,0.0,0.0,0.9625,0.0,Fall,2000,10
2000-10-10,0.0,0.0,0.0,0.0,0.0,Fall,2000,10
2000-10-11,0.0,0.0,0.0,0.0,0.0,Fall,2000,10
2000-10-12,0.0,0.0,0.0,0.0,0.0,Fall,2000,10
2000-10-13,0.125,0.0,0.16666666666666666,0.0,0.33,Fall,2000,10
2000-10-14,0.0625,0.2222222222222222,0.0,0.0,3.65,Fall,2000,10
2000-10-15,4.2875,5.5555555555555545,1.4833333333333334,0.3125,0.08,Fall,2000,10
2000-10-16,2.1,1.3777777777777778,0.08333333333333333,1.8125,0.28,Fall,2000,10
2000-10-17,0.925,5.022222222222221,0.0,3.0125,2.1100000000000003,Fall,2000,10
2000-10-18,0.0,0.0,0.0,5.5625,0.0,Fall,2000,10
2000-10-19,0.0,0.0,0.0,0.0375,0.0,Fall,2000,10
2000-10-20,0.0,0.0,0.0,0.0,0.0,Fall,2000,10
2000-10-21,0.0,0.0,0.0,0.0,0.0,Fall,2000,10
